processed_food_id,fdc_id,match_ratio
1301,747430,0.04
1301,747431,0.04
1301,2346408,0.04
1301,2346412,0.04
1301,747438,0.04
1301,747440,0.04
1301,790577,0.04
1301,747443,0.04
1301,2710838,0.04
1301,335930,0.04
1301,335422,0.04
1301,2644289,0.04
1301,2644290,0.04
1301,1750339,0.04
1301,2263890,0.04
1301,333281,0.04
1303,1750344,0.0909
1303,1750345,0.0909
1303,1999626,0.0909
1303,1999627,0.0909
1303,2003598,0.0909
1303,2003599,0.0909
1303,2003600,0.0909
1303,2003601,0.0909
1303,2003602,0.0909
1303,2003603,0.0909
1303,2003604,0.0909
1304,746760,0.5
1304,334898,0.5
1305,2644290,0.1429
1305,335785,0.1429
1305,747435,0.1429
1305,747438,0.1429
1305,1750351,0.1429
1305,334194,0.1429
1305,335422,0.1429
1306,789890,0.0417
1306,2003587,0.0417
1306,790018,0.0417
1306,335240,0.0417
1306,2685578,0.0417
1306,746766,0.0417
1306,329490,0.0417
1306,323604,0.0417
1306,2346393,0.0417
1306,2346396,0.0417
1306,2346397,0.0417
1306,746782,0.0417
1306,748967,0.0417
1306,2261421,0.0417
1306,2710842,0.0417
1306,789951,0.0417
1306,790085,0.0417
1306,322892,0.0417
1306,2259793,0.0417
1306,2259794,0.0417
1306,2259796,0.0417
1306,323444,0.0417
1306,2512378,0.0417
1306,2512379,0.0417
1307,335912,0.1667
1307,2710825,0.1667
1307,747444,0.1667
1307,2710837,0.1667
1307,2644285,0.1667
1307,2346399,0.1667
1309,332864,0.0588
1309,2646169,0.0588
1309,334628,0.0588
1309,2710822,0.0588
1309,749420,0.0588
1309,2727576,0.0588
1309,1750352,0.0588
1309,1999632,0.0588
1309,746774,0.0588
1309,2727575,0.0588
1309,2646168,0.0588
1309,2514745,0.0588
1309,325658,0.0588
1309,2258587,0.0588
1309,746780,0.0588
1309,746781,0.0588
1309,334462,0.0588
1311,789828,0.1429
1311,790508,0.1429
1311,1750348,0.1429
1311,2262072,0.1429
1311,2262073,0.1429
1311,2262074,0.1429
1311,324860,0.1429
1312,2346401,0.25
1312,2346402,0.25
1312,2346403,0.25
1312,2346404,0.25
1314,2644288,0.0833
1314,2644289,0.0833
1314,2644290,0.0833
1314,2644291,0.0833
1314,2644292,0.0833
1314,2644293,0.0833
1314,2644294,0.0833
1314,2259792,0.0833
1314,329370,0.0833
1314,2644285,0.0833
1314,2644286,0.0833
1314,2644287,0.0833
1316,334720,0.1111
1316,2644291,0.1111
1316,2346404,0.1111
1316,334536,0.1111
1316,2710826,0.1111
1316,2685580,0.1111
1316,746774,0.1111
1316,334462,0.1111
1316,2346399,0.1111
1317,334849,0.0294
1317,335109,0.0294
1317,746758,0.0294
1317,746759,0.0294
1317,746760,0.0294
1317,746761,0.0294
1317,746762,0.0294
1317,746763,0.0294
1317,2727570,0.0294
1317,2727571,0.0294
1317,2727572,0.0294
1317,2727573,0.0294
1317,2727574,0.0294
1317,746779,0.0294
1317,2646172,0.0294
1317,746781,0.0294
1317,2646173,0.0294
1317,2646174,0.0294
1317,2646175,0.0294
1317,746785,0.0294
1317,323121,0.0294
1317,334897,0.0294
1317,334898,0.0294
1317,2514743,0.0294
1317,2514744,0.0294
1317,2514745,0.0294
1317,2514746,0.0294
1317,2514747,0.0294
1317,2262075,0.0294
1317,324157,0.0294
1317,332864,0.0294
1317,335061,0.0294
1317,334963,0.0294
1317,330869,0.0294
1323,2710840,0.0179
1323,2710841,0.0179
1323,2710842,0.0179
1323,335245,0.0179
1323,746765,0.0179
1323,325524,0.0179
1323,335774,0.0179
1323,335777,0.0179
1323,2710819,0.0179
1323,2710820,0.0179
1323,2710821,0.0179
1323,335782,0.0179
1323,747430,0.0179
1323,335912,0.0179
1323,335785,0.0179
